Word,stress_pattern
a,0
a,1
Aaa,2-0-1
aardvark,1-2
Aaron,1-0
Ab,1
Ab,1-1
aback,0-1
abacus,1-0-0
abalone,2-0-1-0
abandon,0-1-0
abandoned,0-1-0
abandoning,0-1-0-0
abandonment,0-1-0-0
abandons,0-1-0
abate,0-1
abated,0-1-0
abatement,0-1-0
abates,0-1
abating,0-1-0
Abba,1-0
Abbas,0-1
Abbe,0-1
Abbe,1-0
Abbey,1-0
Abbot,1-0
Abbott,1-0
abbreviate,0-1-0-2
abbreviated,0-1-0-2-0
abbreviated,0-1-0-2-0
abbreviation,0-2-0-1-0
abbreviations,0-2-0-1-0
Abby,1-0
abdicate,1-0-2
abdicated,1-0-2-0
abdicates,1-0-2
Abdicating,1-0-2-0
abdication,2-0-1-0
abdomen,1-0-0
abdomen,0-1-0
abdominal,0-1-0-0
abdominal,0-1-0-0
abduct,0-1
abducted,0-1-0
abducted,0-1-0
abductee,0-2-1
abductees,0-2-1
abducting,0-1-0
abducting,0-1-0
abduction,0-1-0
abduction,0-1-0
abductions,0-1-0
abductions,0-1-0
abductor,0-1-0
abductor,0-1-0
abductors,0-1-0
abductors,0-1-0
abducts,0-1
abed,0-1
Abel,1-0
abele,0-1
Abend,1-0
Abend,0-1
Aberdeen,1-0-2
Abernethy,1-0-2-0
aberrant,0-1-0
aberration,2-0-1-0
aberrations,2-0-1-0
abet,0-1
abetted,0-1-0
abetting,0-1-0
abeyance,0-1-0
abhor,0-1
abhorred,0-1
abhorrent,0-1-0
abhors,0-1
abide,0-1
abided,0-1-0
abides,0-1
abiding,0-1-0
Abigail,1-0-2
Abilene,1-0-2
abilities,0-1-0-0
ability,0-1-0-0
abject,1-0
ablaze,0-1
able,1-0
abler,1-0-0
abler,1-0
ablest,1-0
ablest,1-0
abloom,0-1
ably,1-0
Abner,1-0
abnormal,0-1-0
abnormalities,2-0-1-0-0
abnormality,2-0-1-0-0
abnormally,0-1-0-0
abo,1-0
aboard,0-1
abode,0-1
abolish,0-1-0
abolished,0-1-0
abolishes,0-1-0-0
abolishing,0-1-0-0
abolition,2-0-1-0
abolitionism,2-0-1-0-2-0
abolitionist,2-0-1-0-0
abolitionists,2-0-1-0-0
abolitionists,2-0-1-0-0
abominable,0-1-0-0-0
abomination,0-2-0-1-0
aboriginal,2-0-1-0-0
aborigine,2-0-1-0-0
aborigines,2-0-1-0-0
Abort,0-1
aborted,0-1-0
aborting,0-1-0
abortion,0-1-0
abortionist,0-1-0-0
abortionists,0-1-0-0
abortionists,0-1-0-0
abortions,0-1-0
abortive,0-1-0
aborts,0-1
abound,0-1
abounded,0-1-0
abounding,0-1-0
abounds,0-1
about,0-1
above,0-1
aboveboard,0-1-2
Abracadabra,2-0-0-1-0
Abraham,1-0-2
abrasion,0-1-0
abrasions,0-1-0
abrasive,0-1-0
abrasives,0-1-0
Abraxas,0-1-0
abreast,0-1
abridge,0-1
abridged,0-1
abridgement,0-1-0
abridging,0-1-0
abroad,0-1
abrogate,1-0-2
abrogated,1-0-2-0
abrogating,1-0-2-0
abrupt,0-1
abruptly,0-1-0
abruptness,0-1-0
abs,1
abs,1-1-1
Abscam,1-0
abscess,1-2
abscond,0-1
absconded,0-1-0
absconding,0-1-0
absence,1-0
absences,1-0-0
absent,1-0
absentee,2-0-1
absenteeism,2-0-1-0-0
absentees,2-0-1
absentia,0-1-0
absinthe,1-0
absolute,1-0-2
absolutely,2-0-1-0
Absoluteness,1-0-2-0
absolutes,1-0-2
absolution,2-0-1-0
absolve,0-1
absolve,0-1
absolved,0-1
absolved,0-1
absolves,0-1
absolves,0-1
absolving,0-1-0
absolving,0-1-0
absorb,0-1
absorbed,0-1
absorbent,0-1-0
absorber,0-1-0
