syllable,syllable_duration,word,word_begin,word_end,word_num_syllables,word_stress_pattern,utterance_speech_rate,speaker,file
AA1.R.M,0.33999999999999986,arm,4.83,5.17,1,1,5.676855895196506,61,61-70968-0050
AA1.R.M,0.3399999999999994,arm,3.93,4.27,1,1,5.235602094240838,61,61-70970-0007
AA1.R.M,0.3900000000000001,arm,2.33,2.72,1,1,4.382470119521912,61,61-70968-0042
AE1.N,0.1899999999999995,answer,7.66,8.14,2,1-0,4.458598726114649,61,61-70970-0015
AO1.L,0.29000000000000004,all,2.31,2.6,1,1,6.167400881057269,61,61-70968-0050
AY1,0.03,i,0.09,0.12,1,1,33.333333333333336,61,61-70968-0017
B.AE1.K,0.34999999999999964,back,3.43,3.78,1,1,5.337078651685394,61,61-70968-0027
B.AW1,0.27,bower,1.4,1.87,2,1-0,6.432748538011695,61,61-70970-0016
B.AW1.T,0.33999999999999986,bout,4.54,4.88,1,1,5.2434456928838955,61,61-70968-0023
B.AY1,0.41000000000000014,by,6.71,7.12,1,1,4.696969696969697,61,61-70970-0035
B.AY1,0.43000000000000016,by,1.73,2.16,1,1,4.790419161676646,61,61-70970-0018
B.EH1.L.T,0.41999999999999993,belt,6.72,7.14,1,1,4.920405209840811,61,61-70968-0014
B.OY1,0.6499999999999999,boy,1.27,1.92,1,1,2.4096385542168677,61,61-70970-0008
B.R.EH1.TH,0.33999999999999986,breath,3.83,4.17,1,1,4.666666666666667,61,61-70968-0032
B.R.EH1.TH,0.41999999999999993,breath,5.44,5.86,1,1,4.5212765957446805,61,61-70970-0001
CH.AY1.L.D,0.5299999999999998,child,3.06,3.59,1,1,3.9393939393939394,61,61-70968-0001
CH.EY1.M,0.29000000000000004,chamber,3.53,4.04,2,1-0,5.319148936170213,61,61-70970-0013
CH.EY1.M,0.3000000000000007,chamber,5.85,6.37,2,1-0,4.810126582278481,61,61-70970-0015
CH.IY1.K.S,0.5,cheeks,2.93,3.43,1,1,4.934210526315789,61,61-70968-0056
D.AY1.D,0.5100000000000007,died,4.27,4.78,1,1,4.761904761904762,61,61-70968-0005
D.EY1,0.3700000000000001,day,2.27,2.64,1,1,3.71900826446281,61,61-70968-0036
D.EY1,0.41999999999999993,day,5.48,5.9,1,1,3.03030303030303,61,61-70970-0011
D.EY1.Z,0.4800000000000004,days,4.26,4.74,1,1,5.46075085324232,61,61-70968-0041
D.IH1.G,0.16999999999999993,dignity,3.24,3.75,3,1-0-0,4.892966360856269,61,61-70968-0053
DH.AH0.M,0.2400000000000002,them,5.58,5.82,1,1,5.535055350553504,61,61-70970-0037
DH.AH0.M,0.21999999999999975,them,6.16,6.38,1,1,5.882352941176471,61,61-70970-0036
